Area,Loop,Loop Total Length,Loop Notes,Track No.,Track,Track Artist,Album,Loop Track Length,Track Notes,Album Track Number,Album Disc Number,Album Label,Dates,Holiday/Special Event
Disney's Paradise Pier Hotel,PCH Grill,,,11,California Girls,The Beach Boys ,, 2:37.689,,,,,"December 15, 2000 → April 1, 2020",
Disney's Paradise Pier Hotel,PCH Grill,,,12,Beach Party,Annette Funicello ,, 1:44.417,,,,,"December 15, 2000 → April 1, 2020",
Disney's Paradise Pier Hotel,PCH Grill,,,13,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,Brian Hyland ,, 2:18.784,,,,,"December 15, 2000 → April 1, 2020",
Disney's Paradise Pier Hotel,PCH Grill,,,14,Vacation,Connie Francis ,, 2:17.394,,,,,"December 15, 2000 → April 1, 2020",
Disney's Paradise Pier Hotel,PCH Grill,,,15,Surfer Girl,The Beach Boys ,, 2:20.405,,,,,"December 15, 2000 → April 1, 2020",
Disney's Paradise Pier Hotel,PCH Grill,,,16,Walking on Sunshine,Katrina and the Waves ,, 3:47.869,,,,,"December 15, 2000 → April 1, 2020",
Disney's Paradise Pier Hotel,PCH Grill,,,17,Wipe Out,The Surfaris ,, 2:35.178,,,,,"December 15, 2000 → April 1, 2020",
Disney's Paradise Pier Hotel,PCH Grill,,,18,Bahama Roller Coaster Ride,Baha Men ,Disneymania 4, 3:26.194,,,,,"December 15, 2000 → April 1, 2020",
Disney's Paradise Pier Hotel,PCH Grill,,,19,Surfin' Safari,The Beach Boys ,, 2:00.256,,,,,"December 15, 2000 → April 1, 2020",
Disney's Paradise Pier Hotel,PCH Grill,,,20,Pipeline,The Ventures ,, 2:53.133,,,,,"December 15, 2000 → April 1, 2020",
Disney's Paradise Pier Hotel,PCH Grill,,,21,Catch a Wave,The Beach Boys ,, 2:15.436,,,,,"December 15, 2000 → April 1, 2020",
Disney's Paradise Pier Hotel,PCH Grill,,,22,Perfidia,The Ventures ,, 2:00.366,,,,,"December 15, 2000 → April 1, 2020",
Disney's Paradise Pier Hotel,PCH Grill,,,23,King of the Surf Guitar [Vocal Version],Dick Dale and the Del-Tones ,, 2:01.534,,,,,"December 15, 2000 → April 1, 2020",
Disney's Paradise Pier Hotel,PCH Grill,,,24,Surf City,Jan and Dean ,, 2:23.794,,,,,"December 15, 2000 → April 1, 2020",
Disney's Paradise Pier Hotel,PCH Grill,,,25,All for One,High School Musical 2 ,, 3:31.667,"This seems to be a karaoke version of ""All for One"" but the Disney Karaoke Series CD for HSM2 does not have this track",,,,"December 15, 2000 → April 1, 2020",
Disney's Grand Californian Hotel & Spa,Grand Californian (daytime exterior),01:02:36.604,"This loop can be heard in the area outside of and around Hearthstone Lounge, Storytellers Cafe, Napa Rose, White Water Snacks, the Fountain and Redwood Pools, Brisa Courtyard, and the entrance to the hotel from Downtown Disney. It began playing with the opening of the Grand Californian in 2001. Tracklist identified by Club 33 on https://community.magicmusic.net/playlists/grand-californian-exterior.4/. Also see MouseBits, https://mousebits.com/smf/index.php?topic=6806.msg56731#msg56731 (2011).",1, Aloft,Sean Harkness,Aloft,00:05:17.085,,3,,Windham Hill,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Grand Californian (daytime exterior),,,2, Green Mountain Trail,Sean Harkness,Aloft,00:03:45.642,,10,,Windham Hill,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Grand Californian (daytime exterior),,,3, Waters of Eden,California Guitar Trio,Rocks the West,00:04:26.511,,6,,Discipline Global Mobile,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Grand Californian (daytime exterior),,,4, Climbing in Geometry,Will Ackerman,Ackerman: A Windham Hill Retrospective,00:06:08.538,,9,,Windham Hill,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Grand Californian (daytime exterior),,,5, Arroyo,California Guitar Trio,Pathways,00:03:37.941,,2,,Discipline Global Mobile,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Grand Californian (daytime exterior),,,6, Summer Solstice,Sean Harkness,Summer Solstice - A Windham Hill Collection,00:03:56.769,"Identical to the track on the album “Aloft” ",1,,Windham Hill,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Grand Californian (daytime exterior),,,7," Summer, from Vivaldi's ""The Four Seasons""",Tracy Silverman,Summer Solstice - A Windham Hill Collection,00:02:59.593,,9,,Windham Hill,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Grand Californian (daytime exterior),,,8, Companions,David Arkenstone,Summer Solstice - A Windham Hill Collection,00:03:36.939,,12,,Windham Hill,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Grand Californian (daytime exterior),,,9, The Warmth of the Sun/Surfer Girl,Philip Aaberg & Scott Mathews,Summer Solstice - A Windham Hill Collection,00:03:44.289,,15,,Windham Hill,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Grand Californian (daytime exterior),,,10, Just Dancin' Like Fools,Will Ackerman,Sun Dance: Summer Solstice - A Windham Hill Collection,00:04:58.945,,5,,Windham Hill,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Grand Californian (daytime exterior),,,11, I Will Walk With My Children,William Coulter,Sun Dance: Summer Solstice - A Windham Hill Collection,00:03:24.726,,6,,Windham Hill,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Grand Californian (daytime exterior),,,12, Don't Worry Baby,"Philip Aaberg, Paul McCandless, Michael Manring",Sun Dance: Summer Solstice - A Windham Hill Collection,00:04:12.080,,11,,Windham Hill,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Grand Californian (daytime exterior),,,13, Driving,Will Ackerman,Sound of Wind Driven Rain,00:05:32.934,,3,,Windham Hill,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Grand Californian (daytime exterior),,,14, A Mother's Heart,Craig Chaquico,Four Corners,00:06:02.503,,7,,Higher Octave Music,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Grand Californian (daytime exterior),,,15, Hotel California,Eagles,Hotel California,00:00:52.103,Edited start - 0:49.427; begin fade out around 0:39.138,1,,Asylum,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Grand Californian Holiday,00:47:43.101,This loop plays in the Grand Californian during the holiday season. See MouseBits: https://mousebits.com/smf/index.php?topic=4845.msg36296#msg36296 (2009) and https://mousebits.com/smf/index.php?topic=4845.msg47829#msg47829 (2010).,1,"The Nutcracker Suite, Op. 71a: I. Overture Miniature",LA Guitar Quartet,Dances from Renaissance to Nutcracker, 2:52.484,,1,,Delos,,Christmas
Disney's Grand Californian Hotel & Spa,Grand Californian Holiday,,,2,"The Nutcracker Suite, Op. 71a: II. March",LA Guitar Quartet,Dances from Renaissance to Nutcracker, 2:35.393,,2,,Delos,,Christmas
Disney's Grand Californian Hotel & Spa,Grand Californian Holiday,,,3,"The Nutcracker Suite, Op. 71a: III. Dance of the Sugar-Plum Fairy",LA Guitar Quartet,Dances from Renaissance to Nutcracker,1:53.169,,3,,Delos,,Christmas
Disney's Grand Californian Hotel & Spa,Grand Californian Holiday,,,4,"The Nutcracker Suite, Op. 71a: IV. Russian Dance",LA Guitar Quartet,Dances from Renaissance to Nutcracker,0:59.732,,4,,Delos,,Christmas
Disney's Grand Californian Hotel & Spa,Grand Californian Holiday,,,5,"The Nutcracker Suite, Op. 71a: V. Arabian Dance",LA Guitar Quartet,Dances from Renaissance to Nutcracker,3:23.425,,5,,Delos,,Christmas
Disney's Grand Californian Hotel & Spa,Grand Californian Holiday,,,6,"The Nutcracker Suite, Op. 71a: VI. Chinese Dance",LA Guitar Quartet,Dances from Renaissance to Nutcracker,0:58.954,,6,,Delos,,Christmas
Disney's Grand Californian Hotel & Spa,Grand Californian Holiday,,,7,"The Nutcracker Suite, Op. 71a: VII. Dance of the Reed Pipes",LA Guitar Quartet,Dances from Renaissance to Nutcracker,2:24.262,,7,,Delos,,Christmas
Disney's Grand Californian Hotel & Spa,Grand Californian Holiday,,,8,"The Nutcracker Suite, Op. 71a: VIII. Waltz of the Flowers",LA Guitar Quartet,Dances from Renaissance to Nutcracker,5:11.289,,8,,Delos,,Christmas
Disney's Grand Californian Hotel & Spa,Grand Californian Holiday,,,9,Rudolph the Red-Nosed Reindeer,The Hampton String Quartet,HSQ Does Christmas (again),3:22.197,,5,,Mona Lisa Sound,,Christmas
Disney's Grand Californian Hotel & Spa,Grand Californian Holiday,,,10,White Christmas,The Hampton String Quartet,HSQ Does Christmas (again),3:41.573,,7,,Mona Lisa Sound,,Christmas
Disney's Grand Californian Hotel & Spa,Grand Californian Holiday,,,11,The Little Drummer Boy,The Hampton String Quartet,HSQ Does Christmas (again),4:09.638,,8,,Mona Lisa Sound,,Christmas
Disney's Grand Californian Hotel & Spa,Grand Californian Holiday,,,12,Winter Wonderland,The Hampton String Quartet,HSQ Does Christmas (again),4:19.896,,9,,Mona Lisa Sound,,Christmas
Disney's Grand Californian Hotel & Spa,Grand Californian Holiday,,,13,Let It Snow! Let It Snow! Let It Snow!,The Hampton String Quartet,HSQ Does Christmas (again),2:28.364,,10,,Mona Lisa Sound,,Christmas
Disney's Grand Californian Hotel & Spa,Grand Californian Holiday,,,14,Frosty the Snowman,The Hampton String Quartet,HSQ Does Christmas (again),5:28.323,,1,,Mona Lisa Sound,,Christmas
Disney's Grand Californian Hotel & Spa,Grand Californian Holiday,,,15,Have Yourself a Merry Little Christmas,The Hampton String Quartet,HSQ Does Christmas (again),2:47.436,,2,,Mona Lisa Sound,,Christmas
Disney's Grand Californian Hotel & Spa,Grand Californian Holiday,,,16,We Wish You a Merry Christmas,The Hampton String Quartet,HSQ Does Christmas (again),1:06.933,"The loop track starts at around 1:25.719 of the album track and has about 0.6 secs. of silence removed before the final note, between 2:26.815 and 2:27.416 of the album track.",11,,Mona Lisa Sound,,Christmas
Disney's Grand Californian Hotel & Spa,Grand Californian (interior),00:48:37.5,"This loop plays in the interior of the Grand Californian Hotel. See Magic Music, https://community.magicmusic.net/playlists/grand-californian-exterior.4/ (2011) and MouseBits, Re: https://mousebits.com/smf/index.php?topic=8490.msg79704#msg79704 (2014).",1,"Serenade No. 10 in B-Flat Major, K. 361: IV. Menuetto: Allegretto",Lowell Graham & National Chamber Players,Serenade & Divertimenti,00:05:15.329,,,,Alliance,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Grand Californian (interior),,,2,"Serenade No. 10 in B-Flat Major, K. 361: VI. Tema con variazioni
",Lowell Graham & National Chamber Players,Serenade & Divertimenti,00:09:20.963,,,,Alliance,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Grand Californian (interior),,,3,"Divertimento in E-Flat Major, K. 166: I. Allegro",Lowell Graham & National Chamber Players,Serenade & Divertimenti,00:03:10.017,,,,Alliance,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Grand Californian (interior),,,4,"Quartet for Flute, Violin, Viola and
  Cello in D major KV 285: Allegro",Europa Symphony Soloists,"Mozart: Flute Quartets KV 285, KV 285b, KV 298 / Trio KV 439b",00:10:05.875,,,,Arte Nova Records,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Grand Californian (interior),,,5,"Quartet for Flute, Violin, Viola and
  Cello in D major KV 285: Rondeau",Europa Symphony Soloists,"Mozart: Flute Quartets KV 285, KV 285b, KV 298 / Trio KV 439b",00:04:36.525,,,,Arte Nova Records,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Grand Californian (interior),,,6,"Trio for Flute, Clarinet and Bassoon in B
  flat major KV 439 b: Allegro",Europa Symphony Soloists,"Mozart: Flute Quartets KV 285, KV 285b, KV 298 / Trio KV 439b",00:01:50.866,,,,Arte Nova Records,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Grand Californian (interior),,,7,"Trio for Flute, Clarinet and Bassoon in B
  flat major KV 439 b: Larghetto",Europa Symphony Soloists,"Mozart: Flute Quartets KV 285, KV 285b, KV 298 / Trio KV 439b",00:03:13.359,,,,Arte Nova Records,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Grand Californian (interior),,,8,"Trio for Flute, Clarinet and Bassoon in B
  flat major KV 439 b: Menuet- Trio",Europa Symphony Soloists,"Mozart: Flute Quartets KV 285, KV 285b, KV 298 / Trio KV 439b",00:03:33.066,,,,Arte Nova Records,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Grand Californian (interior),,,9,"Trio for Flute, Clarinet and Bassoon in B
  flat major KV 439 b: Allegro",Europa Symphony Soloists,"Mozart: Flute Quartets KV 285, KV 285b, KV 298 / Trio KV 439b",00:01:56.959,,,,Arte Nova Records,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Grand Californian (interior),,,10,"Piano Quintet in E-Flat Major, K. 452: III. Allegretto",Stephen Hough & Berlin Philharmonic Wind Quintet,Mozart: Music for Piano and Wind Quartet,00:05:34.541,,,,BIS,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,~01:01:00,"Compiled by StarWarsGalaxysEdge (MouseBits; 2022). See https://mousebits.com/smf/index.php?topic=10787.msg98737#msg98737. This plays throughout the entire day, during character breakfast/brunch and dinner at Storyteller’s Cafe as of 2022.",1, Kentucky Slide,Jeremy Sherman,"Country, USA",,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,2, UNKNOWN A,,,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,3, Banjolin,Jeremy Sherman,US Country Old & New,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,4, Country Banjo Funk,Mike Eaves,Plan B,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,5," Mickey Mouse Club March/The Ballad
  of Davy Crockett",Various Artists,"O Mickey, Where Art Thou?",,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,6, Stomping at the Barn,"Dave James, Keith Beauvais",Stomping Country,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,7," Bare Necessities (""Jungle
  Book"")",Pickin' On Series,Heigh Ho Banjo: Bluegrass Salutes Favorite Disney Songs,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,8, Everybody Loves Moonshine,"Tim Reilly, Jeremy Sherman, Jason Pedder",Banjo & Beats,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,9, Country Rag,Jeremy Sherman,"Country, USA 2",,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,10, Old Kent Road,Jeremy Sherman,Old Timer Country,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,11, Roan Mountain Dance,"Leon Hunt, Josh Clark",Banjo,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,12," I Wanna Be Like You (""Jungle
  Book"")",Pickin' On Series,Heigh Ho Banjo: Bluegrass Salutes Favorite Disney Songs,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,13, UNKNOWN B,,,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,14, Rough Rider,"Dave James, Keith Beauvais",Stomping Country,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,15, Kentucky Slide,Jeremy Sherman,"Country, USA",,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,16, UNKNOWN A,,,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,17, Country Banjo Funk,Mike Eaves,Plan B,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,18," Mickey Mouse Club March/The Ballad
  of Davy Crockett",Various Artists,"O Mickey, Where Art Thou?",,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,19, Dust Kicker,"Dave James, Keith Beauvais",Stomping Country,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,20," Bare Necessities (""Jungle
  Book"")",Pickin' On Series,Heigh Ho Banjo: Bluegrass Salutes Favorite Disney Songs,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,21, Banjo Man,"Lincoln Grounds, Michael Pearse",Banjo & Beats,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,22," Heigh-Ho (""Snow White"")",Pickin' On Series,Heigh Ho Banjo: Bluegrass Salutes Favorite Disney Songs,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,23, Sour Apples,"Duncan Pittock, Ellie Kidd, Igor Dvorkin",Folk & Nu Folk,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,24, Country Rag,Jeremy Sherman,"Country, USA 2",,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,25, UNKNOWN B ,,,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Character Breakfast,,,26, Rough Rider,"Dave James, Keith Beauvais",Stomping Country,,,,,,,
Disney's Grand Californian Hotel & Spa,Napa Rose,00:57:44,"Notes: Playlist compiled by C33 and posted 05/2010 on Magic Music of the Mouse discussion board. See MouseBits, https://mousebits.com/smf/index.php?topic=6806.msg56731#msg56731",1,Perfect Moment,Peter White,Perfect Moment,,,,,,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Napa Rose,,,2,Autumn Day,Peter White,Perfect Moment,,,,,,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Napa Rose,,,3,Another Rainy Day,Peter White,Perfect Moment,,,,,,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Napa Rose,,,4,Turquoise Moon,Craig Chaquico,Four Corners,,,,,,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Napa Rose,,,5,Samba del Rio,Craig Chaquico,Four Corners,,,,,,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Napa Rose,,,6,Siempre Conmigo,Sean Harkness,Aloft,,,,,,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Napa Rose,,,7,We Should Be Together,3rd Force,3rd Force,,,,,,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Napa Rose,,,8,Venice Beach,Peter White,Caravan of Dreams,,,,,,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Napa Rose,,,9,City of Lights,Peter White,Caravan of Dreams,,,,,,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Napa Rose,,,10,Bittersweet,Peter White,Caravan of Dreams,,,,,,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Napa Rose,,,11,Obsession Confession,Slash with Marta Sanchez,Curdled OST,,,,,,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Napa Rose,,,12,Laura,Rick Braun,Intimate Secrets,,,,,,"January 2, 2001",
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Lunch/Dinner,00:49:53,Playlist compiled by C33 and posted 09/2010 on Magic Music. See https://community.magicmusic.net/threads/storytellers-cafe-background-music-dl.4290/#post-30961 (2009).,1,3 Women Walking,Ottmar Liebert,Nouveau Flamenco,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Lunch/Dinner,,,2,Cielito Lindo,Paco de Lucía & Ramón Algeciras,Hispanoamerica,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Lunch/Dinner,,,3,Peg Leg,Leo Kottke,Peculiaraso,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Lunch/Dinner,,,4,Blow the Man Down,Various Artists,The Wind in the Rigging,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Lunch/Dinner,,,5,The Ride,James Horner,The Mask of Zorro (Soundtrack),,Edited,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Lunch/Dinner,,,6,On the Rooftop / What's a Kiss / Perturbed Pixie,Oliver Wallace,Peter Pan (Soundtrack),,Edited: 00:52 - 00:58,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Lunch/Dinner,,,7,A Cottage in the Woods,George Bruns,Sleeping Beauty (Soundtrack),,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Lunch/Dinner,,,8,Locked In the Tower / Gus and Jaq to the Rescue / Slipper Fittings / Cinderella's Slipper / Finale,Oliver Wallace & Paul J. Smith,Cinderella (Soundtrack),,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Lunch/Dinner,,,9,Blow Ye Winds,Various Artists,The Wind in the Rigging,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Lunch/Dinner,,,10,Chicuelina,Rafael Riqueni,Juego de Ninos,3:12,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Lunch/Dinner,,,11,"Requiem, Op. 48: In Paradisum",The Choir of Trinity College,Fauré: Requiem,3:37,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Lunch/Dinner,,,12,"Quizas, Quizas, Quizas",Paco de Lucía & Ramón Algeciras,Hispanoamerica,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Lunch/Dinner,,,13,Unknown,,,7:14,"New age-y, slow, quiet",,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Lunch/Dinner,,,14,Itchy,Leo Kottke,Standing In My Shoes,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Lunch/Dinner,,,15,Winged Processional,Mesa Music Consort,Spirit Feathers,,,,,,,
Disney's Grand Californian Hotel & Spa,Storyteller's Cafe Lunch/Dinner,,,16,End Titles Part II,Patrick Doyle,Shipwrecked (Soundtrack),,,,,,,
Disney's Paradise Pier Hotel,Paradise Pier Hotel (interior) v.1,~00:58:04,"This loop played in the lobby of the Paradise Pier Hotel. Playlist based on a live recording by CThaddeus and compiled by C33. Playlist posted 06/2010 on C33's blog at Magic Music of the Mouse discussion board. See Disney Parks Music Compendium, https://disney-parks-music-compendium.blogspot.com/2022/11/paradise-pier-hotel-bgm.html.",1,Sunset at the Wedge,The Vara-Tones,Jetty Subject to High Surf,03:45,,,,,,
Disney's Paradise Pier Hotel,Paradise Pier Hotel (interior) v.1,,,2,Banzai Pipeline,The Blue Hawaiians,Sway,,,,,,,
Disney's Paradise Pier Hotel,Paradise Pier Hotel (interior) v.1,,,3,Drive,Gary Hoey,Animal Instinct,,,,,,,
Disney's Paradise Pier Hotel,Paradise Pier Hotel (interior) v.1,,,4,Theme from the Endless Summer,Gary Hoey,Endless Summer II,,,,,,,
Disney's Paradise Pier Hotel,Paradise Pier Hotel (interior) v.1,,,5,Slow Dance with a Fast Girl,The Aqua Velvets,Guitar Noir,,,,,,,
Disney's Paradise Pier Hotel,Paradise Pier Hotel (interior) v.1,,,6,Ocean Boulevard,Jack Jezzro,Ocean Boulevard,,,,,,,
Disney's Paradise Pier Hotel,Paradise Pier Hotel (interior) v.1,,,7,Under the Boardwalk,Jack Jezzro,Ocean Boulevard,,,,,,,
Disney's Paradise Pier Hotel,Paradise Pier Hotel (interior) v.1,,,8,Stay,Jack Jezzro,Ocean Boulevard,,,,,,,
Disney's Paradise Pier Hotel,Paradise Pier Hotel (interior) v.1,,,9,Myrtle Beach Days,Jack Jezzro,Ocean Boulevard,,,,,,,
Disney's Paradise Pier Hotel,Paradise Pier Hotel (interior) v.1,,,10,Up On the Roof,Jack Jezzro,Ocean Boulevard,,,,,,,
Disney's Paradise Pier Hotel,Paradise Pier Hotel (interior) v.1,,,11,Carolina Girls,Jack Jezzro,Ocean Boulevard,,,,,,,
Disney's Paradise Pier Hotel,Paradise Pier Hotel (interior) v.1,,,12,Summertime's Calling Me,Jack Jezzro,Ocean Boulevard,,,,,,,
Disney's Paradise Pier Hotel,Paradise Pier Hotel (interior) v.1,,,13,I Love Beach Music,Jack Jezzro,Ocean Boulevard,,,,,,,
Disney's Paradise Pier Hotel,Paradise Pier Hotel (interior) v.1,,,14,Wouldn't It Be Nice?,The Royal Philharmonic Orchestra,Symphonic Sounds: Music of the Beach,,,,,,,
Disney's Paradise Pier Hotel,Paradise Pier Hotel (interior) v.1,,,15,Surfer Girl,Don Grusin,Wouldn't It Be Nice: A Jazz Portrait of Brian Wilson,,,,,,,
Disney's Paradise Pier Hotel,Paradise Pier Hotel (interior) v.1,,,16,I Just Wasn't Made for These Times,Larry Carlton,Wouldn't It Be Nice: A Jazz Portrait of Brian Wilson,,,,,,,
Disney's Paradise Pier Hotel,Paradise Pier Hotel Holiday,00:49:39.978,"This loop played in the Paradise Pier Hotel Lobby during the holiday season. The loop is identical to Santa’s Seaside Pavilion in DCA’s Sunshine Plaza. See MouseBits, https://mousebits.com/smf/index.php?topic=4845.msg36221#msg36221 (2009) and https://mousebits.com/smf/index.php?topic=4845.msg37205#msg37205 (2010).",1," Jingle
  Bell Rock ",Jack Jezzro & Sam Levine,Christmas In The Fifties, 3:25.285,,1,1,Green Hill,,Christmas
Disney's Paradise Pier Hotel,Paradise Pier Hotel Holiday,,,2, Winter Wonderland ,Jack Jezzro & Sam Levine,Christmas In The Fifties, 3:50.990,,2,1,Green Hill,,Christmas
Disney's Paradise Pier Hotel,Paradise Pier Hotel Holiday,,,3," Rockin' Around the Christmas
  Tree ",Jack Jezzro & Sam Levine,Christmas In The Fifties, 3:31.959,,3,1,Green Hill,,Christmas
