Track,Album,Album Disc Number,Album Label,Album Track Number,Dates,District/Neighborhood,Holiday/Special Event,Land,Loop,Loop Notes,Loop Total Length,Loop Track Length,Track Artist,Track No.,Track Notes
 From a Buick 6,Highway 61 Revisited [2012],,,,,,,Cars Land,Downtown Radiator Springs,,, 3:10.415,Bob Dylan,57,
 Ride on Josephine,Gold - Bo Diddley [2008],,,,,,,Cars Land,Downtown Radiator Springs,,, 3:00.077,Bo Diddley,49,
Ford V-8,Hot Rods & Custom Classics [1999],,,,,,,Cars Land,Downtown Radiator Springs,,, 2:21.556,Honey Boy Allen,13,
My Mustang Ford,"Chuck Berry In London - Fresh Berry's
  [1998]",,,,,,,Cars Land,Downtown Radiator Springs,,, 2:16.020,Chuck Berry,35,
" Peroxide Blonde and a Hopped Up
  Model Ford",Unissued Sun Masters [2006],,,,,,,Cars Land,Downtown Radiator Springs,,, 1:29.327,Jumpin' Gene Simmons,63,
 Mustang Sally & GTO,Chuck Berry In London - Fresh Berry's [1998],,,,,,,Cars Land,Downtown Radiator Springs,,, 4:28.150,Chuck Berry,55,
Ride on Josephine,Hot Rods & Custom Classics [1999],,,,,,,Cars Land,Downtown Radiator Springs,,, 4:18.239,George Thorogood & the Destroyers,9,
 Hotrod Gang,Hot Rods & Custom Classics [1999],,,,,,,Cars Land,Downtown Radiator Springs,,, 2:45.838,Stray Cats,44,
Flat Tire,The Best Of The Del Vikings [1996],,,,,,,Cars Land,Downtown Radiator Springs,,, 2:25.485,The Del Vikings,37,
 Six Days on the Road,Hot Rod Cowboys [1997],,,,,,,Cars Land,Downtown Radiator Springs,,, 2:10.042,Dave Dudley,43,
 Freeway of Love,Knew You Were Waiting: The Best Of Aretha Franklin [2011],,,,,,,Cars Land,Downtown Radiator Springs,,, 4:03.917,Aretha Franklin,47,
 Hot Rod Susie,Chuck Berry In London - Fresh Berry's [1998],,,,,,,Cars Land,Downtown Radiator Springs,,, 2:14.587,Chuck Berry,53,
 Loud Mufflers,Hot Rod Hop [1999],,,,,,,Cars Land,Downtown Radiator Springs,,, 2:37.573,Robert Williams & the Groovers,42,
Automobiles,Hot Rods & Custom Classics [1999],,,,,,,Cars Land,Downtown Radiator Springs,,, 2:16.859,The Spaniels,12,
Hot Rod Queen,Hot Rods & Custom Classics [1999],,,,,,,Cars Land,Downtown Radiator Springs,,, 2:13.253,Deke Dickerson & the Ecco-Fonics,23,
 Green Onions,Rhino Hi-Five - Booker T. & the MG's [2005],,,,,,,Cars Land,Downtown Radiator Springs,,, 2:15.270,Booker T. & the MG's,46,
Twin Pipes and Pin Stripes,Hot Rod Race [2007],,,,,,,Cars Land,Downtown Radiator Springs,,, 1:44.570,Sammy Masters,32,
 Go Champs Go,Tequila Golden Classics [1993],,,,,,,Cars Land,Downtown Radiator Springs,,, 1:55.101,The Champs,52,
 Hardtop Race,Trains & Cars [2005],,,,,,,Cars Land,Downtown Radiator Springs,,, 2:22.118,George Stogner,60,
Hot Rod Is Her Name,Hot Rod Hop [1999],,,,,,,Cars Land,Downtown Radiator Springs,,, 2:31.526,Tom Tall & Ginny Wright,11,
The Phantom Dragster,I Fought The Law - The Best Of The Bobby Fuller Four [2000],,,,,,,Cars Land,Downtown Radiator Springs,,, 1:20.825,The Bobby Fuller Four,36,
Key to the Highway,Hot Rods & Custom Classics [1999],,,,,,,Cars Land,Downtown Radiator Springs,,, 2:42.947,Little Walter,22,
 Push Button Automobile,Speedin' [1996],,,,,,,Cars Land,Downtown Radiator Springs,,, 2:47.416,Vernon Green & the Medallions,65,
 I've Been Everywhere,The Essential Hank Snow [1997],,,,,,,Cars Land,Downtown Radiator Springs,,, 2:43.668,Hank Snow,64,
Draggin',Hot Rods & Custom Classics [1999],,,,,,,Cars Land,Downtown Radiator Springs,,, 1:43.912,Curtis Gordon,25,
Road Runner,Hot Rods & Custom Classics [1999],,,,,,,Cars Land,Downtown Radiator Springs,,, 2:41.772,Bo Diddley,5,
 Wheels,Country Jam [2008],,,,,,,Cars Land,Downtown Radiator Springs,,, 2:59.356,Eleven Hundred Springs,51,
One Piece at a Time,Hot Rods & Custom Classics [1999],,,,,,,Cars Land,Downtown Radiator Springs,,, 3:59.862,Johnny Cash,26,
Big Green Car,Hot Rods & Custom Classics [1999],,,,,,,Cars Land,Downtown Radiator Springs,,, 2:00.180,Jimmy Carroll,10,
 Hot Rodder's Lament,"Rhythm, Rhyme & Truth [2000]",,,,,,,Cars Land,Downtown Radiator Springs,,, 2:35.717,Deke Dickerson & the Ecco-Fonics,59,
Rocket 88,Hot Rods & Custom Classics [1999],,,,,,,Cars Land,Downtown Radiator Springs,,, 2:43.167,Jackie Brenston & His Delta Cats,24,
Pink Cadillac,Hot Rods & Custom Classics [1999],,,,,,,Cars Land,Downtown Radiator Springs,,, 2:17.211,Sammy Masters & His Rocking Rhythms,40,
Cruisin',Hot Rods & Custom Classics [1999],,,,,,,Cars Land,Downtown Radiator Springs,,, 2:09.425,Gene Vincent and His Blue Caps,19,
Mustang Sally,Hot Rods & Custom Classics [1999],,,,,,,Cars Land,Downtown Radiator Springs,,, 3:03.201,Wilson Pickett,14,
Hot Rod Lincoln,Hot Rod Cowboys [1997],,,,,,,Cars Land,Downtown Radiator Springs,,, 2:43.848,Johnny Bond,31,
Let's Go for a Ride,Hot Rods & Custom Classics [1999],,,,,,,Cars Land,Downtown Radiator Springs,,, 1:46.725,The Collegians,7,
409,Hot Rods & Custom Classics [1999],,,,,,,Cars Land,Downtown Radiator Springs,,, 1:57.278,The Quads,6,
Little Forty Ford,Hot Rods & Custom Classics [1999],,,,,,,Cars Land,Downtown Radiator Springs,,, 1:43.025,Leon Smith,4,
 Pontiac Blues,Hot Rods & Custom Classics [1999],,,,,,,Cars Land,Downtown Radiator Springs,,, 2:38.922,Sonny Boy Williamson,45,
You Can't Catch Me,Gold - Chuck Berry [2000],,,,,,,Cars Land,Downtown Radiator Springs,,, 2:40.587,Chuck Berry,33,
Fastest Short in Town,Hot Rod Hop [1999],,,,,,,Cars Land,Downtown Radiator Springs,,, 2:14.527,"Robert A. Irvine & the Kentucky
  Colonels",29,
 Dear Dad,Hot Rod Hop [1999],,,,,,,Cars Land,Downtown Radiator Springs,,, 1:46.584,The Manin Brothers,54,
 Motor Head Baby,Hot Rods & Custom Classics [1999],,,,,,,Cars Land,Downtown Radiator Springs,,, 2:33.094,"Johnny ""Guitar"" Watson",66,
Built for Speed,Stray Cats: Greatest Hits [2000],,,,,,,Cars Land,Downtown Radiator Springs,,, 2:50.923,Stray Cats,28,
 King of the Road,Hot Rod Cowboys [1997],,,,,,,Cars Land,Downtown Radiator Springs,,, 2:23.703,Roger Miller,62,
 Look at That Cadillac,Stray Cats: Greatest Hits [2000],,,,,,,Cars Land,Downtown Radiator Springs,,, 3:59.617,Stray Cats,67,
 I Want to Be Your Driver,"The Real Folk Blues/More Real Folk Blues
  [2002]",,,,,,,Cars Land,Downtown Radiator Springs,,, 2:10.077,John Lee Hooker,56,
Hot Rod Man,Hot Rods & Custom Classics [1999],,,,,,,Cars Land,Downtown Radiator Springs,,, 2:09.790,Tex Rubinowitz,3,
Bring My Cadillac Back,Hot Rods & Custom Classics [1999],,,,,,,Cars Land,Downtown Radiator Springs,,, 2:24.225,Baker Knight & the Knightmares,21,
Rocking Little Roadster,Lightning McQueen's Fast Tracks [2006],,,,,,,Cars Land,Downtown Radiator Springs,,,3:28.148,Fred Mollin & the Blue Sea Band,30,
Welcome to Radiator Springs,Music of Cars Land [2012],,,,,,,Cars Land,Downtown Radiator Springs,,,2:43.661,Joe Louis Walker,8,
Black and White Thunderbird,Lightning McQueen's Fast Tracks [2006],,,,,,,Cars Land,Downtown Radiator Springs,,,2:18.163,Fred Mollin & the Blue Sea Band,38,
My Old Car,Lightning McQueen's Fast Tracks [2006],,,,,,,Cars Land,Downtown Radiator Springs,,,2:19.576,Fred Mollin & the Blue Sea Band,39,
Rescue Me,Sister Act Motion Picture Soundtrack [1992],,,,,,,Cars Land,Flo's V8 Café (interior),,, 2:47.122,Fontella Bass,3,
Don't Let Him Shop Around,,,,,,,,Cars Land,Flo's V8 Café (interior),,, 2:33.939,Debbie Dean,26,
Baby Love,Hitsville USA [1992],,,,,,,Cars Land,Flo's V8 Café (interior),,, 2:33.539,The Supremes,23,
Then He Kissed Me,,,,,,,,Cars Land,Flo's V8 Café (interior),,, 2:31.423,The Crystals,11,
Back in My Arms Again,The Supremes Definitive Collection [2008],,,,,,,Cars Land,Flo's V8 Café (interior),,, 2:47.438,The Supremes,33,
Stay Away from Bobby,The Very Best of the Sherry Sisters [2011],,,,,,,Cars Land,Flo's V8 Café (interior),,, 2:29.280,The Sherry Sisters,10,
Sweet Talkin' Guy,,,,,,,,Cars Land,Flo's V8 Café (interior),,, 2:16.784,The Chiffons,14,
Will You Love Me Tomorrow,Glory Days of Rock n' Roll: Girl Group Sound [1999],,,,,,,Cars Land,Flo's V8 Café (interior),,, 2:33.199,The Shirelles,13,
Sailor Boy,The Very Best of the Sherry Sisters [2011],,,,,,,Cars Land,Flo's V8 Café (interior),,, 2:35.205,The Sherry Sisters,34,
(Love Is Like a) Heat Wave,Hitsville USA [1992],,,,,,,Cars Land,Flo's V8 Café (interior),,, 2:40.901,Martha and the Vandellas,8,
Stop! In the Name of Love,The Supremes Definitive Collection [2008],,,,,,,Cars Land,Flo's V8 Café (interior),,, 2:47.152,The Supremes,29,
Dedicated to the One I Love,,,,,,,,Cars Land,Flo's V8 Café (interior),,, 1:56.411,The Shirelles,18,
Dancing in the Street,Hitsville USA [1992],,,,,,,Cars Land,Flo's V8 Café (interior),,, 2:37.582,Martha and the Vandellas,15,
Mama Said,Glory Days of Rock n' Roll: Girl Group Sound [1999],,,,,,,Cars Land,Flo's V8 Café (interior),,, 2:00.185,The Shirelles,6,
Give Him a Great Big Kiss,The Best of the Girl Groups Vol. 1 [1990],,,,,,,Cars Land,Flo's V8 Café (interior),,, 2:02.063,The Shangri-Las,16,
You Can't Hurry Love,Hitsville USA [1992],,,,,,,Cars Land,Flo's V8 Café (interior),,, 2:45.500,The Supremes,5,
The Shoop Shoop Song (It's in His Kiss),The Best of the Girl Groups Vol. 1 [1990],,,,,,,Cars Land,Flo's V8 Café (interior),,, 2:10.172,Betty Everett,2,
He's So Fine,,,,,,,,Cars Land,Flo's V8 Café (interior),,, 1:50.945,The Chiffons,27,
Nowhere to Run,Hitsville USA [1992],,,,,,,Cars Land,Flo's V8 Café (interior),,, 2:54.306,Martha and the Vandellas,28,
He Was Really Sayin' Somethin',Hitsville USA [1992],,,,,,,Cars Land,Flo's V8 Café (interior),,, 2:26.380,The Velvelettes,24,
Do Wah Diddy Diddy,Tell Him [2012],,,,,,,Cars Land,Flo's V8 Café (interior),,, 2:13.997,The Exciters,12,
Come See About Me,Hitsville USA [1992],,,,,,,Cars Land,Flo's V8 Café (interior),,, 2:37.926,The Supremes,32,
Da Doo Ron Ron,,,,,,,,Cars Land,Flo's V8 Café (interior),,, 2:08.627,The Crystals,22,
Come Go with Me,60s Girl Groups [1998],,,,,,,Cars Land,Flo's V8 Café (interior),,, 1:51.798,Sugar N' Spice,9,
Tell Him,Glory Days of Rock n' Roll: Girl Group Sound [1999],,,,,,,Cars Land,Flo's V8 Café (interior),,, 2:26.840,The Exciters,7,
One Fine Day,,,,,,,,Cars Land,Flo's V8 Café (interior),,, 2:05.361,The Chiffons,20,
Needle in a Haystack,Hitsville USA [1992],,,,,,,Cars Land,Flo's V8 Café (interior),,, 2:27.114,The Velvelettes,25,
My Guy,Hitsville USA [1992],,,,,,,Cars Land,Flo's V8 Café (interior),,, 2:44.997,Mary Wells,21,
Take Me in Your Arms (Rock Me a Little While),Hitsville USA [1992],,,,,,,Cars Land,Flo's V8 Café (interior),,,2:53.677,Kim Weston,30,
Please Mr. Postman,,,,,,,,Cars Land,Flo's V8 Café (interior),,, 2:23.269,The Marvelettes,4,
Jimmy Mack,Hitsville USA [1992],,,,,,,Cars Land,Flo's V8 Café (interior),,, 2:47.871,Martha and the Vandellas,17,
I Hear a Symphony,The Supremes Definitive Collection [2008],,,,,,,Cars Land,Flo's V8 Café (interior),,, 2:35.378,The Supremes,19,
Respect,Forrest Gump Motion Picture Soundtrack [1994],,,,,,,Cars Land,Flo's V8 Café (interior),"This loop plays inside Flo’s V8 Cafe and was introduced with the opening of Cars Land on June 13, 2012. Tracklist compiled by pixelated with source albums by Triple (MouseCord, 2025). See MouseBits, https://mousebits.com/smf/index.php?topic=7381.msg66092#msg66092 (2012).",01:23:36.046, 2:19.879,Aretha Franklin,1,"The fade out on ""Sailor Boy"" is a lot sooner for the CD's version than most online, leaving a large gap between it and ""Respect”."
Truck Driver's Boogie,"Truck Driver's Boogie: Big Rig Hits, 1939-1969 [2001]",,,,,Golden Vine Winery,,"Cars Land, Golden State, Pacific Wharf","Blue Sky Cellar v.7 [REF], Radiator Springs Racers [REF]",,, 2:31.470,Milo Twins ,8,
Henry's Made A Lady Out Of Lizzie,Echoes of the 1920s [2002],,,,,Golden Vine Winery,,"Cars Land, Golden State, Pacific Wharf","Blue Sky Cellar v.7 [REF], Radiator Springs Racers [REF]",,, 2:51.319,Beth Challis ,23,
I'm a Truck,Hillbilly Hot Rod & Automobile Songs [2006],,,,,Golden Vine Winery,,"Cars Land, Golden State, Pacific Wharf","Blue Sky Cellar v.7 [REF], Radiator Springs Racers [REF]",,, 3:05.706,Red Simpson ,20,
Model T Baby,Hillbilly Hot Rod & Automobile Songs [2006],,,,,Golden Vine Winery,,"Cars Land, Golden State, Pacific Wharf","Blue Sky Cellar v.7 [REF], Radiator Springs Racers [REF]",,, 2:15.095,Jack Turner,18,
Roly Poly,The Essential Bob Wills (1935-1947) [1992],,,,,Golden Vine Winery,,"Cars Land, Golden State, Pacific Wharf","Blue Sky Cellar v.7 [REF], Radiator Springs Racers [REF]",,, 2:33.498,Bob Wills and His Texas Playboys ,12,
The Automobile Song,Hillbilly Hot Rod & Automobile Songs [2006],,,,,Golden Vine Winery,,"Cars Land, Golden State, Pacific Wharf","Blue Sky Cellar v.7 [REF], Radiator Springs Racers [REF]",,, 2:26.561,Luke McDaniel ,24,
Auto-Conga,La Paloma (Cugat Hits from 1935 to 1940) [2011],,Favorite Classics,,,Golden Vine Winery,,"Cars Land, Golden State, Pacific Wharf","Blue Sky Cellar v.7 [REF], Radiator Springs Racers [REF]",,, 2:14.303,Xavier Cugat ,26,2011 digital release
Car Song,"This Land Is Your Land: The Asch Recordings, Vol. 1 [1997]",,,,,Golden Vine Winery,,"Cars Land, Golden State, Pacific Wharf","Blue Sky Cellar v.7 [REF], Radiator Springs Racers [REF]",,, 1:49.078,Woody Guthrie ,5,
Hot Rod Rag,Hillbilly Hot Rod & Automobile Songs [2006],,,,,Golden Vine Winery,,"Cars Land, Golden State, Pacific Wharf","Blue Sky Cellar v.7 [REF], Radiator Springs Racers [REF]",,, 2:15.647,Paul Westmoreland And His Band,13,
Hot Rod Blues,Hillbilly Hot Rod & Automobile Songs [2006],,,,,Golden Vine Winery,,"Cars Land, Golden State, Pacific Wharf","Blue Sky Cellar v.7 [REF], Radiator Springs Racers [REF]",,, 2:47.532,The Southernaires ,22,
Hot Rod Baby,"The Sound of the 40's, Volume 3 [2011]",,Dayl,,,Golden Vine Winery,,"Cars Land, Golden State, Pacific Wharf","Blue Sky Cellar v.7 [REF], Radiator Springs Racers [REF]",,, 2:44.791,Dick Reinhart and His Lone Star Boys,10,2011 digital release
In My Merry Oldsmobile,The Indispensable Bix Beiderbecke [1992],,,,,Golden Vine Winery,,"Cars Land, Golden State, Pacific Wharf","Blue Sky Cellar v.7 [REF], Radiator Springs Racers [REF]",,, 2:25.930,Jean Goldkette and His Orchestra with Bix Beiderbecke,16,
Riding In A Chevrolet Six,Georgia Songsters  (1926-1930) [1998],,,,,Golden Vine Winery,,"Cars Land, Golden State, Pacific Wharf","Blue Sky Cellar v.7 [REF], Radiator Springs Racers [REF]",,, 3:03.567,Oscar Ford ,21,
Truck Drivin' Man,"Truck Driver's Boogie: Big Rig Hits, 1939-1969 [2001]",,,,,Golden Vine Winery,,"Cars Land, Golden State, Pacific Wharf","Blue Sky Cellar v.7 [REF], Radiator Springs Racers [REF]",,, 2:13.824,Terry Fell and The Fellers ,11,
Crazy 'Cause I Love You,A Western Swing Dance Date With Spade & Tex [2000],,,,,Golden Vine Winery,,"Cars Land, Golden State, Pacific Wharf","Blue Sky Cellar v.7 [REF], Radiator Springs Racers [REF]",,, 2:09.525,Spade Cooley and His Orchestra with vocals by Red Egner ,2,
Listen to the Rhythm of the Range,The Essential Gene Autry [2005],,,,,Golden Vine Winery,,"Cars Land, Golden State, Pacific Wharf","Blue Sky Cellar v.7 [REF], Radiator Springs Racers [REF]",,, 2:28.007,Gene Autry,19,
Heavy Traffic Ahead,Hot Rods and Custom Classics [1999],,,,,Golden Vine Winery,,"Cars Land, Golden State, Pacific Wharf","Blue Sky Cellar v.7 [REF], Radiator Springs Racers [REF]","This loop was initially the 7th version of the Blue Sky Cellar BGM, introduced for the exhibit “The Radiator Springs Historical Society’s Museum of the History of Radiator Springs.” pixelated confirmed with a reference recording that it was the same loop as the RSR queue, with Eddie Cantor’s automobile song inserted. Tracklist was compiled by pixelated and verified source albums provided by Triple. See MouseBits, https://mousebits.com/smf/index.php?topic=6732.msg66481#msg66481 (2012) and https://mousebits.com/smf/index.php?topic=7381.msg66677#msg66677. Also https://mousebits.com/smf/index.php?topic=7842.msg69947#msg69947.",1:09:12.240, 2:49.484,Bill Monroe and His Bluegrass Boys ,1,
I'm a Truck Driving Man,"Truck Driver's Boogie: Big Rig Hits, 1939-1969 [2001]",,,,,Golden Vine Winery,,"Cars Land, Golden State, Pacific Wharf","Blue Sky Cellar v.7 [REF], Radiator Springs Racers [REF]",,, 2:37.669,Art Gibson ,14,
The Chevrolet Six,Old Time Music from West Virginia 1927 - 1929 [1997],,,,,Golden Vine Winery,,"Cars Land, Golden State, Pacific Wharf","Blue Sky Cellar v.7 [REF], Radiator Springs Racers [REF]",,, 3:10.046,Frank Hutchison,4,
Henry Ford's Model A,Georgia Songsters  (1926-1930) [1998],,,,,Golden Vine Winery,,"Cars Land, Golden State, Pacific Wharf","Blue Sky Cellar v.7 [REF], Radiator Springs Racers [REF]",,, 2:57.812,Oscar Ford ,25,
I'm Wild About Horns On Automobiles,Four-Four Rhythm Vol. 1: 1928 to 1931 [2001],,,,,Golden Vine Winery,,"Cars Land, Golden State, Pacific Wharf","Blue Sky Cellar v.7 [REF], Radiator Springs Racers [REF]",,, 3:17.545,Billy Hays & His Orchestra ,12,
My Ford Sedan,Fiddlin John Carson Vol. 5 1927 - 1929 [1997],,,,,Golden Vine Winery,,"Cars Land, Golden State, Pacific Wharf","Blue Sky Cellar v.7 [REF], Radiator Springs Racers [REF]",,, 2:29.860,Fiddlin' John Carson ,3,
No Parking Here,Hillbilly Hot Rod & Automobile Songs [2006],,,,,Golden Vine Winery,,"Cars Land, Golden State, Pacific Wharf","Blue Sky Cellar v.7 [REF], Radiator Springs Racers [REF]",,, 2:27.552,Jimmy Littlejohn ,9,
The Little Ford Rambled Right Along,Car Songs - Recorded 1905-1937 [2011],,,,,Golden Vine Winery,,"Cars Land, Golden State, Pacific Wharf","Blue Sky Cellar v.7 [REF], Radiator Springs Racers [REF]",,, 3:02.790,Billy Murray ,15,
Wildwood Flower,RCA Country Legends - The Carter Family [2004],,,,,Golden Vine Winery,,"Cars Land, Golden State, Pacific Wharf","Blue Sky Cellar v.7 [REF], Radiator Springs Racers [REF]",,, 3:08.219,The Carter Family ,6,
He'd Have to Get Under,T-Model Tunes [2011],,,,,Golden Vine Winery,,"Cars Land, Golden State, Pacific Wharf","Blue Sky Cellar v.7 [REF], Radiator Springs Racers [REF]",,,3:12.578,Perfessor Bill Edwards,7,Track available for free from this website: http://ragpiano.com/covers/hedhave.htm
California Blues,Devil's Serenade ,,,,"September 23, 2011 → February 1, 2012",Golden Vine Winery,,"Buena Vista Street, Golden State","Blue Sky Cellar v.5, Temporary DCA Entrance Walkway","This loop was the fifth version of the Blue Sky Cellar BGM which was also used as the temporary DCA entrance walkway. The Blue Sky Cellar BGM debuted on September 23, 2011. Verified tracklist compiled by pixelated based on his reference recording. See MouseBits, https://mousebits.com/smf/index.php?topic=6732.msg56209#msg56209 (2011) and https://mousebits.com/smf/index.php?topic=6677.msg55199#msg55199 (2011).",00:59:50.937, 3:07.249,Mora's Modern Rhythmists,1,
California Swing,"Devil's Serenade, edited ",,,,"September 23, 2011 → February 1, 2012",Golden Vine Winery,,"Buena Vista Street, Golden State","Blue Sky Cellar v.5, Temporary DCA Entrance Walkway",,, 2:00.218,Mora's Modern Rhythmists,16,The album version is cut-off at about 2:00.6 and the next loop track cuts-in at that point.
Whispering,Stardust ,,,,"September 23, 2011 → February 1, 2012",Golden Vine Winery,,"Buena Vista Street, Golden State","Blue Sky Cellar v.5, Temporary DCA Entrance Walkway",,, 3:09.523,Royal Society Jazz Orchestra,12,
Everybody Stomp!,Devil's Serenade ,,,,"September 23, 2011 → February 1, 2012",Golden Vine Winery,,"Buena Vista Street, Golden State","Blue Sky Cellar v.5, Temporary DCA Entrance Walkway",,, 2:54.161,Mora's Modern Rhythmists,11,
Stampede,Stardust ,,,,"September 23, 2011 → February 1, 2012",Golden Vine Winery,,"Buena Vista Street, Golden State","Blue Sky Cellar v.5, Temporary DCA Entrance Walkway",,, 2:57.708,Royal Society Jazz Orchestra,21,
Fight That Thing,Devil's Serenade ,,,,"September 23, 2011 → February 1, 2012",Golden Vine Winery,,"Buena Vista Street, Golden State","Blue Sky Cellar v.5, Temporary DCA Entrance Walkway",,, 2:38.439,Mora's Modern Rhythmists,6,
The Junk Man Rag,The Whistler And His Dog ,,,,"September 23, 2011 → February 1, 2012",Golden Vine Winery,,"Buena Vista Street, Golden State","Blue Sky Cellar v.5, Temporary DCA Entrance Walkway",,, 2:03.034,The Paragon Ragtime Orchestra,4,
Horatio Nicholls' Californian Serenade,Puttin' on the Ritz ,,,,"September 23, 2011 → February 1, 2012",Golden Vine Winery,,"Buena Vista Street, Golden State","Blue Sky Cellar v.5, Temporary DCA Entrance Walkway",,, 3:43.348,Palm Court Theatre Orchestra,3,
Rockin' in Rhythm,Stardust ,,,,"September 23, 2011 → February 1, 2012",Golden Vine Winery,,"Buena Vista Street, Golden State","Blue Sky Cellar v.5, Temporary DCA Entrance Walkway",,, 3:04.313,Royal Society Jazz Orchestra,15,
Devil's Serenade,Devil's Serenade ,,,,"September 23, 2011 → February 1, 2012",Golden Vine Winery,,"Buena Vista Street, Golden State","Blue Sky Cellar v.5, Temporary DCA Entrance Walkway",,, 2:36.677,Mora's Modern Rhythmists,19,
"Toot, Toot, Tootsie!",Puttin' on the Ritz ,,,,"September 23, 2011 → February 1, 2012",Golden Vine Winery,,"Buena Vista Street, Golden State","Blue Sky Cellar v.5, Temporary DCA Entrance Walkway",,, 2:15.029,Palm Court Theatre Orchestra,13,
Stompin’ At The Savoy,Big Band Salute: Mood Indigo ,,,,"September 23, 2011 → February 1, 2012",Golden Vine Winery,,"Buena Vista Street, Golden State","Blue Sky Cellar v.5, Temporary DCA Entrance Walkway",,,3:00.187,"Newton Wayland, Houston Symphony",8,
One O'Clock Jump,20 Best of Big Bands ,,,,"September 23, 2011 → February 1, 2012",Golden Vine Winery,,"Buena Vista Street, Golden State","Blue Sky Cellar v.5, Temporary DCA Entrance Walkway",,, 2:57.735,The BBC Big Band Orchestra,9,
Ain't That Too Bad?,Devil's Serenade ,,,,"September 23, 2011 → February 1, 2012",Golden Vine Winery,,"Buena Vista Street, Golden State","Blue Sky Cellar v.5, Temporary DCA Entrance Walkway",,, 2:44.553,Mora's Modern Rhythmists,5,
Am I Blue?,If I Had You ,,,,"September 23, 2011 → February 1, 2012",Golden Vine Winery,,"Buena Vista Street, Golden State","Blue Sky Cellar v.5, Temporary DCA Entrance Walkway",,, 3:28.698, Royal Society Jazz Orchestra,10,
Shake That Thing,Devil's Serenade ,,,,"September 23, 2011 → February 1, 2012",Golden Vine Winery,,"Buena Vista Street, Golden State","Blue Sky Cellar v.5, Temporary DCA Entrance Walkway",,, 2:53.885,Mora's Modern Rhythmists,17,
Pinetop's Boogie,20 Best of Big Bands ,,,,"September 23, 2011 → February 1, 2012",Golden Vine Winery,,"Buena Vista Street, Golden State","Blue Sky Cellar v.5, Temporary DCA Entrance Walkway",,, 3:14.471,The BBC Big Band Orchestra,20,
Charleston,Devil's Serenade ,,,,"September 23, 2011 → February 1, 2012",Golden Vine Winery,,"Buena Vista Street, Golden State","Blue Sky Cellar v.5, Temporary DCA Entrance Walkway",,, 2:10.750,Mora's Modern Rhythmists,14,
Too Bad,Stardust ,,,,"September 23, 2011 → February 1, 2012",Golden Vine Winery,,"Buena Vista Street, Golden State","Blue Sky Cellar v.5, Temporary DCA Entrance Walkway",,, 2:46.032,Royal Society Jazz Orchestra,7,
Ain't Misbehavin',Puttin' on the Ritz ,,,,"September 23, 2011 → February 1, 2012",Golden Vine Winery,,"Buena Vista Street, Golden State","Blue Sky Cellar v.5, Temporary DCA Entrance Walkway",,, 3:53.825,Palm Court Theatre Orchestra,2,
Let’s Dance,"B. G. in Hi-Fi, track 1 ",,,,"September 23, 2011 → February 1, 2012",Golden Vine Winery,,"Buena Vista Street, Golden State","Blue Sky Cellar v.5, Temporary DCA Entrance Walkway",,,2:11.091,Benny Goodman,18,
 A Bug's Life Suite,"A Bug's Life, track 20 ",,,,,Golden Vine Winery,,Golden State,Blue Sky Cellar v.3 [REF],,, 5:08.747,Randy Newman,5,"Loop length: 1:12:58.505
from Blue Sky Cellar v.2 BGM"
" You've Got a Friend in Me
  (Instrumental)","Toy Story 2, track 20 ",,,,,Golden Vine Winery,,Golden State,Blue Sky Cellar v.3 [REF],,, 2:53.378,Randy Newman,15,from Blue Sky Cellar v.2 BGM
 Vieni Sul Mar,"Music of Italy, track 23 [fadeout] ",,,,,Golden Vine Winery,,Golden State,Blue Sky Cellar v.3 [REF],,, 2:10.342,Angelo de Pippa & the Italian Musica,18,from Boardwalk Pizza & Pasta (interior)
 The Mosquito's Parade,"Titanic: Music As Heard on the Fateful Voyage, track 8 ",,,,,Golden Vine Winery,,Golden State,Blue Sky Cellar v.3 [REF],,, 2:21.302,Ian Whitcomb,7,from Boardwalk Pizza & Pasta (interior)
 Mountain Air (Bergesluft),"Music of Oktoberfest, track 11 ",,,,,Golden Vine Winery,,Golden State,Blue Sky Cellar v.3 [REF],,, 2:19.248,Bavarian Oktoberfest Band and Chorus,17,from Boardwalk Pizza & Pasta (interior)
 Pines of Rome,"Fantasia 2000, track 2 ",,,,,Golden Vine Winery,,Golden State,Blue Sky Cellar v.3 [REF],,, 4:37.765,James Levine & The Chicago Symphony Orchestra,6,from Blue Sky Cellar v.2 BGM
 Wien Bleibt Wien,"Wien bleibt Wien, track 1 ",,,,,Golden Vine Winery,,Golden State,Blue Sky Cellar v.3 [REF],,, 2:05.081,"I Salonisti, arranged by Salabert",11,from Paradise Park BGM
 Herzensfreude [Polka],"Oktoberfest In Germany, track 8 ",,,,,Golden Vine Winery,,Golden State,Blue Sky Cellar v.3 [REF],,, 3:11.406,Woadhauser Musikanten,16,from Boardwalk Pizza & Pasta (interior)
 Fuocco Di Paglia (Straw Fire),"Festa Italiana, track 12 ",,,,,Golden Vine Winery,,Golden State,Blue Sky Cellar v.3 [REF],,, 2:41.181,Various Artists,8,from Boardwalk Pizza & Pasta (interior)
 Marina,"Music of Italy, track 21 [fadeout] ",,,,,Golden Vine Winery,,Golden State,Blue Sky Cellar v.3 [REF],,, 1:54.094,Angelo de Pippa & the Italian Musica,19,from Boardwalk Pizza & Pasta (interior)
