Track,Album,Album Disc Number,Album Label,Album Track Number,Dates,Disney Gallery Location,Holiday/Special Event,Loop,Loop Notes,Loop Total Length,Loop Track Length,Track Artist,Track No.,Track Notes
Monorail Song / Nation on Wheels,Disneyland Forever,,,,,New Orleans Square,,[1997-2000] Tomorrowland: Looking at the Future 1955 - 1998,"This loop played at the Disney Gallery in New Orleans Square. In use for the duration of the Tomorrowland: Looking at the Future exhibit, from July 11, 1997 until 2000. Tracklist compiled by Progressland and wedroy1923. See Magic Music, https://community.magicmusic.net/threads/disneyland-music-loops.17/post-72 (2002) and MouseBits, https://forums.mousebits.com/threads/the-disney-gallery-music-2-0.7840/ (2013). RocketRodsXPR noted that this loop “was for the largest portion of the gallery, although at least one of the rooms (the one featuring the 1998 models and art) had a different loop.” Also see MouseBits, https://forums.mousebits.com/threads/the-disney-gallery.6886/ (2011) and the Disney Parks Music Compendium tracklist https://disney-parks-music-compendium.blogspot.com/2022/12/the-disney-gallery-tomorrowland.html.",~00:38:57,03:26,,1,
See loop notes,,,,,,New Orleans Square,,[2002] 100 Mickeys [INC],"This loop played at the Disney Gallery in New Orleans Square. It was in use for the duration of the One Hundred Mickeys exhibit in 2002 (artwork commissioned from Eric Robison to celebrate Walt Disney’s 100th birthday). No track list exists for this loop. See MouseBits, https://forums.mousebits.com/threads/the-disney-gallery-music-2-0.7840/#post-73222 (2013) and Magic Music, https://community.magicmusic.net/threads/disneyland-music-loops.17/page-2#post-218 (2002).",Unknown,,,1,
See loop notes,,,,,,New Orleans Square,,[2003-2005] Frights Camera Action! The Haunted Mansion Goes Hollywood,"This loop played at the Disney Gallery in New Orleans Square. It was in use for the duration of the Frights, Camera, Action! The Haunted Mansion Goes Hollywood exhibit from 2003 until 2005. No tracklist exists for this loop. See Magic Music, https://community.magicmusic.net/threads/hmh-disney-gallery-loop.3943/#post-28481 (2008).",,,,1,
House of the Future Narration,Disneyland Forever,,,,,New Orleans Square,,[1997-2000] Tomorrowland: Looking at the Future 1955 - 1998,,,00:45,,2,Edited
"20,000 Leagues Under the Sea Exhibit Narration",Disneyland Forever,,,,,New Orleans Square,,[1997-2000] Tomorrowland: Looking at the Future 1955 - 1998,,,01:13,,3,
Submarine Voyage Narration (from A Gala Day at Disneyland),,,,,,New Orleans Square,,[1997-2000] Tomorrowland: Looking at the Future 1955 - 1998,,,04:27,,4,
Tomorrowland Art Corner Announcement,Disneyland Forever,,,,,New Orleans Square,,[1997-2000] Tomorrowland: Looking at the Future 1955 - 1998,,,01:20,,5,Edited
Space Mountain Com Chat,Disneyland Forever,,,,,New Orleans Square,,[1997-2000] Tomorrowland: Looking at the Future 1955 - 1998,,,01:55,,7,Edited: ~00:03 - ~01:53
Carousel of Progress Kaleidophonic Opening,Disneyland Forever,,,,,New Orleans Square,,[1997-2000] Tomorrowland: Looking at the Future 1955 - 1998,,,02:41,,6,
Adventure Thru Inner Space Loading Area,Disneyland Forever,,,,,New Orleans Square,,[1997-2000] Tomorrowland: Looking at the Future 1955 - 1998,,,02:02,,9,Edited
America the Beautiful Opening,,,,,,New Orleans Square,,[1997-2000] Tomorrowland: Looking at the Future 1955 - 1998,,,00:55,,8,
Miracles from Molecules,Disneyland Forever,,,,,New Orleans Square,,[1997-2000] Tomorrowland: Looking at the Future 1955 - 1998,,,02:37,,14,
Adventure Thru Inner Space Narration,Disneyland Forever,,,,,New Orleans Square,,[1997-2000] Tomorrowland: Looking at the Future 1955 - 1998,,,04:17,,13,
PeopleMover Music (Industry in Motion No. 1),,,,,,New Orleans Square,,[1997-2000] Tomorrowland: Looking at the Future 1955 - 1998,,,02:07,,12,
PeopleMover Boarding Announcement,,,,,,New Orleans Square,,[1997-2000] Tomorrowland: Looking at the Future 1955 - 1998,,,00:11,,11,
Miracles from Molecules,Disneyland Forever,,,,,New Orleans Square,,[1997-2000] Tomorrowland: Looking at the Future 1955 - 1998,,,01:46,,10,
There’s A Great Big Beautiful Tomorrow,,,,,,New Orleans Square,,[1997-2000] Tomorrowland: Looking at the Future 1955 - 1998,,,00:56,,19,
PeopleMover Narration (Jack Wagner),,,,,,New Orleans Square,,[1997-2000] Tomorrowland: Looking at the Future 1955 - 1998,,,02:43,,18,
Carousel of Progress Load Music,,,,,,New Orleans Square,,[1997-2000] Tomorrowland: Looking at the Future 1955 - 1998,,,01:38,,17,
Miracles from Molecules (Lounge Version),Disneyland Forever,,,,,New Orleans Square,,[1997-2000] Tomorrowland: Looking at the Future 1955 - 1998,,,02:37,,16,
Space Mountain Com Chat,Disneyland Forever,,,,,New Orleans Square,,[1997-2000] Tomorrowland: Looking at the Future 1955 - 1998,,,01:29,,15,Edited: ~02:34 - End
Introduction,,,,,,New Orleans Square,,[1997-2000] Tomorrowland: Imagination and Beyond 1998-,"This loop played at the Disney Gallery in New Orleans Square. In use for the duration of the Tomorrowland: Imagination and Beyond 1998- exhibit, from July 11, 1997 until 2000. Tracklist compiled by Progressland and wedroy1923. See Magic Music, https://community.magicmusic.net/threads/disneyland-music-loops.17/post-72 (2002) and MouseBits, https://forums.mousebits.com/threads/the-disney-gallery-music-2-0.7840/ (2013).  Further information provided by Horizons on Magic Music, https://community.magicmusic.net/threads/future-world-innoventions-plaza-area-music.5215/ (2008). RocketRodsXPR noted that this loop “was for the largest portion of the gallery, although at least one of the rooms (the one featuring the 1998 models and art) had a different loop.” Also see MouseBits, https://forums.mousebits.com/threads/the-disney-gallery.6886/post-57915 (2011) and the Disney Parks Music Compendium tracklist https://disney-parks-music-compendium.blogspot.com/2022/11/the-disney-gallery-imagination-and.html.",~52:39,,,1,
Future World Theme,,,,,,New Orleans Square,,[1997-2000] Tomorrowland: Imagination and Beyond 1998-,,,,,2,
Fiber Optics,Walt Disney World Forever,,,,,New Orleans Square,,[1997-2000] Tomorrowland: Imagination and Beyond 1998-,,,,,3,
Innoventions Theme,Walt Disney World Forever,,,,,New Orleans Square,,[1997-2000] Tomorrowland: Imagination and Beyond 1998-,,,,,4,"a. Innoventions Theme
b. Interlude I"
Golden Dream,Walt Disney World Forever,,,,,New Orleans Square,,[1997-2000] Tomorrowland: Imagination and Beyond 1998-,,,,,5,
Fountain of Nations,Walt Disney World Forever,,,,,New Orleans Square,,[1997-2000] Tomorrowland: Imagination and Beyond 1998-,,,,,7,
Arcs,Walt Disney World Forever,,,,,New Orleans Square,,[1997-2000] Tomorrowland: Imagination and Beyond 1998-,,,,,6,
Symphony of the Seed,,,,,,New Orleans Square,,[1997-2000] Tomorrowland: Imagination and Beyond 1998-,,,,,11,
Interlude II,Walt Disney World Forever,,,,,New Orleans Square,,[1997-2000] Tomorrowland: Imagination and Beyond 1998-,,,,,10,
(We Used to) Listen to the Land,Walt Disney World Forever,,,,,New Orleans Square,,[1997-2000] Tomorrowland: Imagination and Beyond 1998-,,,,,9,"a. Interlude II
b. (We Used to) Listen to the Land"
Spaceship Earthrise,,,,,,New Orleans Square,,[1997-2000] Tomorrowland: Imagination and Beyond 1998-,,,,,8,
9’ 35’’ for Six Weeks,,,,,,New Orleans Square,,[1997-2000] Tomorrowland: Imagination and Beyond 1998-,,,,,15,
Interlude IV,,,,,,New Orleans Square,,[1997-2000] Tomorrowland: Imagination and Beyond 1998-,,,,,14,
Cascades,Walt Disney World Forever,,,,,New Orleans Square,,[1997-2000] Tomorrowland: Imagination and Beyond 1998-,,,,,13,
Great Big Beautiful Tomorrow,,,,,,New Orleans Square,,[1997-2000] Tomorrowland: Imagination and Beyond 1998-,,,,,12,
Grows on You,,,,,,New Orleans Square,,[1997-2000] Tomorrowland: Imagination and Beyond 1998-,,,,,24,
Interlude VIII,,,,,,New Orleans Square,,[1997-2000] Tomorrowland: Imagination and Beyond 1998-,,,,,23,
Future World Theme,,,,,,New Orleans Square,,[1997-2000] Tomorrowland: Imagination and Beyond 1998-,,,,,22,
Global Neighborhood,Walt Disney World Forever,,,,,New Orleans Square,,[1997-2000] Tomorrowland: Imagination and Beyond 1998-,,,,,21,
Interlude VII,,,,,,New Orleans Square,,[1997-2000] Tomorrowland: Imagination and Beyond 1998-,,,,,20,
World on the Move,Walt Disney World Forever,,,,,New Orleans Square,,[1997-2000] Tomorrowland: Imagination and Beyond 1998-,,,,,19,
Magic Journeys,,,,,,New Orleans Square,,[1997-2000] Tomorrowland: Imagination and Beyond 1998-,,,,,18,
Future World Past,Walt Disney World Forever,,,,,New Orleans Square,,[1997-2000] Tomorrowland: Imagination and Beyond 1998-,,,,,17,"a. The Living Seas
b. Horizons
c. Fun to be Free 
d. Interlude V"
Innoventions Adagio,,,,,,New Orleans Square,,[1997-2000] Tomorrowland: Imagination and Beyond 1998-,,,,,16,
"Haunted Mansion, 'Graveyard Music’",Disneyland Forever,,,,,New Orleans Square,,[2002-2003] Grim Grinning Ghosts,"This loop played in the Disney Gallery in New Orleans Square. It was used as part of the Grim, Grinning Ghosts exhibit from 10/2002 to 20/2003. A few tracks were identified by RocketRodsXPR using YouTube videos from the time period. See MouseBits, https://forums.mousebits.com/threads/the-disney-gallery-music-2-0.7840/post-73222 (2013).",Unknown,,,1,
Overture (The Nightmare Before Christmas),The Nightmare Before Christmas OST,,,,,New Orleans Square,,[2002-2003] Grim Grinning Ghosts,,,,Danny Elfman,,
See loop notes,,,,,,New Orleans Square,,[2003] A Pirate's Life for Me,"This loop played in the Disney Gallery in New Orleans Square. It was used as part of the A Pirate’s Life for Me exhibit in 2003. It is unknown what played as part of this loop. See MouseBits, https://forums.mousebits.com/threahttps://forums.mousebits.com/threads/the-disney-gallery-music-2-0.7840/post-73222ads/the-disney-gallery-music-2-0.7840/post-73222 (2013).",Unknown,,,1,
I'm Wishing (Vocal),,,,,,New Orleans Square,,[2005-2007] Disneyland: A Magical Canvas: 50 Artists Celebrate 50 Years [INC],"This loop played in the Disney Gallery in New Orleans Square. This loop was the BGM for the “Disneyland, A Magical Canvas: 50 Artists Celebrate 50 Years” from 05/2005 until 08/2007. Partial tracklist compiled by wedroy1923 based on multiple live video recordings. See MouseBits, https://forums.mousebits.com/threads/the-disney-gallery.6886/ (2011) and https://forums.mousebits.com/threads/the-disney-gallery-music-2-0.7840/ (2013).",,,,1,
Who's Afraid of the Big Bad Wolf?,Walt Disney World Forever,,,,,New Orleans Square,,[2005-2007] Disneyland: A Magical Canvas: 50 Artists Celebrate 50 Years [INC],,,,,3,
Pirates of the Caribbean Overture,Disneyland Forever,,,,,New Orleans Square,,[2005-2007] Disneyland: A Magical Canvas: 50 Artists Celebrate 50 Years [INC],,,,,4,
There's a Bright New World of Innoventions (Home Version),Disneyland Forever,,,,,New Orleans Square,,[2005-2007] Disneyland: A Magical Canvas: 50 Artists Celebrate 50 Years [INC],,,,,5,
Puppy Love,Walt Disney World Forever,,,,,New Orleans Square,,[2005-2007] Disneyland: A Magical Canvas: 50 Artists Celebrate 50 Years [INC],,,,,,
You Can Fly,The Disney Gallery Commemorative Exhibition: Imagineering the Dream,,,,,New Orleans Square,,[2005-2007] Disneyland: A Magical Canvas: 50 Artists Celebrate 50 Years [INC],,,,,,Edited to exclude 00.00 to 00.18
Monorail Song (Magic Skyway),Walt Disney and the 1964 World’s Fair,,,,,New Orleans Square,,[2005-2007] Disneyland: A Magical Canvas: 50 Artists Celebrate 50 Years [INC],,,,,,
Yankee Doodle Dandy,Disneyland Forever / Walt Disney World Forever,,,,,New Orleans Square,,[2005-2007] Disneyland: A Magical Canvas: 50 Artists Celebrate 50 Years [INC],,,,,,
Fantasyland Castle Medley,Official Album (1997),,,,,New Orleans Square,,[2005-2007] Disneyland: A Magical Canvas: 50 Artists Celebrate 50 Years [INC],,,,,,
When You Wish Upon a Star,A Musical History of Disneyland,,,,,New Orleans Square,,[2005-2007] Disneyland: A Magical Canvas: 50 Artists Celebrate 50 Years [INC],,,,,,
All in the Golden Afternoon,Disneyland Forever,,,,,New Orleans Square,,[2005-2007] Disneyland: A Magical Canvas: 50 Artists Celebrate 50 Years [INC],,,,,,
Goodbye My Coney Island Baby,Disneyland Forever / Walt Disney World Forever,,,,,New Orleans Square,,[2005-2007] Disneyland: A Magical Canvas: 50 Artists Celebrate 50 Years [INC],,,,,2,
Zip-a-Dee-Doo-Dah,Disneyland Forever,,,,,New Orleans Square,,[2005-2007] Disneyland: A Magical Canvas: 50 Artists Celebrate 50 Years [INC],,,,,,
I Could Love a Million Girls,Disneyland Forever / Walt Disney World Forever,,,,,New Orleans Square,,[2005-2007] Disneyland: A Magical Canvas: 50 Artists Celebrate 50 Years [INC],,,,,,
See loop notes,,,,,,New Orleans Square,,[2007] Inspired by Disneyland [INC],"This loop played in the Disney Gallery in New Orleans Square. The loop was the BGM for the final exhibit of the Disney Gallery, “Inspired by Disneyland” which was featured in 2007. No tracklist exists for this loop, although RocketRodsXPR has postulated that the loop is the same as “A Magical Canvas.” See MouseBits, https://forums.mousebits.com/threads/the-disney-gallery-music-2-0.7840/post-73222 (2013).",Unknown,,,1,
Zip-a-Dee-Doo-Dah,Disneyland Forever OR Walt Disney World Forever,,,,,"Main Street U.S.A. (Opera House Lobby), Main Street U.S.A. (storefront)",,"[2009-2010] Enchanting the Classics, [2013] Tiki Tiki Tiki Realms – Celebrating 50 Years of Enchantment [REF], [2014-2015] Mechanical Kingdoms – Steam-Driven Visions of a Victorian Future, [2015-2016] Drawing Disneyland – The Early Years, [2015] Snow Queens – Art of Ice, [2016-2018?] Disney's Steam Trains – A Man & His Passion for the Railroad, [2018-2019] The Art of Mary Poppins Returns (December 2018-2019)","This loop played in the Disney Gallery on Main Street, U.S.A. as the BGM for the exhibit ”Enchanting the Classics”, which was featured from 10/2009-05/2010. The loop was also featured in the Opera House lobby during the 50th anniversary celebration, and reappeared in 2013 as part of the Disneyland Story where it was used for the Tiki Tiki Tiki Realms (2013), Mechanical Kingdoms (2014-2015), and Snow Queens (2015) exhibits based on reference recordings by pixelated. While unverified, it is likely that it was in place for the Drawing Disneyland, Disney’s Steam Trains, and The Art of Mary Poppins exhibits. This loop also appears to be identical to that of the Magic Kingdom and Tokyo Disneyland Main Entrance loops. Tracklist compiled by wedroy1923 and is partially confirmed by notes and recordings. See MouseBits, https://mousebits.com/smf/index.php?topic=8193.msg75211#msg75211 (2013) and https://forums.mousebits.com/threads/the-disney-gallery-music-2-0.7840/ (2013).",56:21.005,,,1,Edited to exclude ~01.03 - 02.31
Winnie the Pooh,Unreleased,,,,,"Main Street U.S.A. (Opera House Lobby), Main Street U.S.A. (storefront)",,"[2009-2010] Enchanting the Classics, [2013] Tiki Tiki Tiki Realms – Celebrating 50 Years of Enchantment [REF], [2014-2015] Mechanical Kingdoms – Steam-Driven Visions of a Victorian Future, [2015-2016] Drawing Disneyland – The Early Years, [2015] Snow Queens – Art of Ice, [2016-2018?] Disney's Steam Trains – A Man & His Passion for the Railroad, [2018-2019] The Art of Mary Poppins Returns (December 2018-2019)",,,,,2,Winnie the Pooh attraction queue (Disneyland)
You've Got a Friend in Me,Magical Musicals,,,,,"Main Street U.S.A. (Opera House Lobby), Main Street U.S.A. (storefront)",,"[2009-2010] Enchanting the Classics, [2013] Tiki Tiki Tiki Realms – Celebrating 50 Years of Enchantment [REF], [2014-2015] Mechanical Kingdoms – Steam-Driven Visions of a Victorian Future, [2015-2016] Drawing Disneyland – The Early Years, [2015] Snow Queens – Art of Ice, [2016-2018?] Disney's Steam Trains – A Man & His Passion for the Railroad, [2018-2019] The Art of Mary Poppins Returns (December 2018-2019)",,,,Erich Kuznel & the Cincinnati Pops Orchestra,3,
Beautiful Beulah,Disneyland Forever OR Walt Disney World Forever,,,,,"Main Street U.S.A. (Opera House Lobby), Main Street U.S.A. (storefront)",,"[2009-2010] Enchanting the Classics, [2013] Tiki Tiki Tiki Realms – Celebrating 50 Years of Enchantment [REF], [2014-2015] Mechanical Kingdoms – Steam-Driven Visions of a Victorian Future, [2015-2016] Drawing Disneyland – The Early Years, [2015] Snow Queens – Art of Ice, [2016-2018?] Disney's Steam Trains – A Man & His Passion for the Railroad, [2018-2019] The Art of Mary Poppins Returns (December 2018-2019)",,,,,4,
All in the Golden Afternoon,Disneyland Forever,,,,,"Main Street U.S.A. (Opera House Lobby), Main Street U.S.A. (storefront)",,"[2009-2010] Enchanting the Classics, [2013] Tiki Tiki Tiki Realms – Celebrating 50 Years of Enchantment [REF], [2014-2015] Mechanical Kingdoms – Steam-Driven Visions of a Victorian Future, [2015-2016] Drawing Disneyland – The Early Years, [2015] Snow Queens – Art of Ice, [2016-2018?] Disney's Steam Trains – A Man & His Passion for the Railroad, [2018-2019] The Art of Mary Poppins Returns (December 2018-2019)",,,,,5,
Yo Ho (A Pirate's Life for Me),The Disney Gallery Commemorative Exhibition - Imagineering the Dream,,,,,"Main Street U.S.A. (Opera House Lobby), Main Street U.S.A. (storefront)",,"[2009-2010] Enchanting the Classics, [2013] Tiki Tiki Tiki Realms – Celebrating 50 Years of Enchantment [REF], [2014-2015] Mechanical Kingdoms – Steam-Driven Visions of a Victorian Future, [2015-2016] Drawing Disneyland – The Early Years, [2015] Snow Queens – Art of Ice, [2016-2018?] Disney's Steam Trains – A Man & His Passion for the Railroad, [2018-2019] The Art of Mary Poppins Returns (December 2018-2019)",,,,,6,Edited to exclude 00:00 - 00:18
Painting the Roses Red,Walt Disney World Forever,,,,,"Main Street U.S.A. (Opera House Lobby), Main Street U.S.A. (storefront)",,"[2009-2010] Enchanting the Classics, [2013] Tiki Tiki Tiki Realms – Celebrating 50 Years of Enchantment [REF], [2014-2015] Mechanical Kingdoms – Steam-Driven Visions of a Victorian Future, [2015-2016] Drawing Disneyland – The Early Years, [2015] Snow Queens – Art of Ice, [2016-2018?] Disney's Steam Trains – A Man & His Passion for the Railroad, [2018-2019] The Art of Mary Poppins Returns (December 2018-2019)",,,,,7,
The Three Little Pigs,Walt Disney World Forever,,,,,"Main Street U.S.A. (Opera House Lobby), Main Street U.S.A. (storefront)",,"[2009-2010] Enchanting the Classics, [2013] Tiki Tiki Tiki Realms – Celebrating 50 Years of Enchantment [REF], [2014-2015] Mechanical Kingdoms – Steam-Driven Visions of a Victorian Future, [2015-2016] Drawing Disneyland – The Early Years, [2015] Snow Queens – Art of Ice, [2016-2018?] Disney's Steam Trains – A Man & His Passion for the Railroad, [2018-2019] The Art of Mary Poppins Returns (December 2018-2019)",,,,,8,"Edited to include 00:08 - 02:08, 03:09 - End"
Imagination Institute Theme,Unreleased,,,,,"Main Street U.S.A. (Opera House Lobby), Main Street U.S.A. (storefront)",,"[2009-2010] Enchanting the Classics, [2013] Tiki Tiki Tiki Realms – Celebrating 50 Years of Enchantment [REF], [2014-2015] Mechanical Kingdoms – Steam-Driven Visions of a Victorian Future, [2015-2016] Drawing Disneyland – The Early Years, [2015] Snow Queens – Art of Ice, [2016-2018?] Disney's Steam Trains – A Man & His Passion for the Railroad, [2018-2019] The Art of Mary Poppins Returns (December 2018-2019)",,,,,9,
Woody's Roundup [no vocals],Toy Story 2 Motion Picture Soundtrack,,,,,"Main Street U.S.A. (Opera House Lobby), Main Street U.S.A. (storefront)",,"[2009-2010] Enchanting the Classics, [2013] Tiki Tiki Tiki Realms – Celebrating 50 Years of Enchantment [REF], [2014-2015] Mechanical Kingdoms – Steam-Driven Visions of a Victorian Future, [2015-2016] Drawing Disneyland – The Early Years, [2015] Snow Queens – Art of Ice, [2016-2018?] Disney's Steam Trains – A Man & His Passion for the Railroad, [2018-2019] The Art of Mary Poppins Returns (December 2018-2019)",,,,,10,Edited to include 00:00 - 01:43
You Can Fly! You Can Fly! You Can Fly!,The Disney Gallery Commemorative Exhibition - Imagineering the Dream,,,,,"Main Street U.S.A. (Opera House Lobby), Main Street U.S.A. (storefront)",,"[2009-2010] Enchanting the Classics, [2013] Tiki Tiki Tiki Realms – Celebrating 50 Years of Enchantment [REF], [2014-2015] Mechanical Kingdoms – Steam-Driven Visions of a Victorian Future, [2015-2016] Drawing Disneyland – The Early Years, [2015] Snow Queens – Art of Ice, [2016-2018?] Disney's Steam Trains – A Man & His Passion for the Railroad, [2018-2019] The Art of Mary Poppins Returns (December 2018-2019)",,,,,11,
Come Again (Come On In),The Disney Gallery Commemorative Exhibition - Imagineering the Dream,,,,,"Main Street U.S.A. (Opera House Lobby), Main Street U.S.A. (storefront)",,"[2009-2010] Enchanting the Classics, [2013] Tiki Tiki Tiki Realms – Celebrating 50 Years of Enchantment [REF], [2014-2015] Mechanical Kingdoms – Steam-Driven Visions of a Victorian Future, [2015-2016] Drawing Disneyland – The Early Years, [2015] Snow Queens – Art of Ice, [2016-2018?] Disney's Steam Trains – A Man & His Passion for the Railroad, [2018-2019] The Art of Mary Poppins Returns (December 2018-2019)",,,,,12,
Minnie's Yoo Hoo,Walt Disney World Forever,,,,,"Main Street U.S.A. (Opera House Lobby), Main Street U.S.A. (storefront)",,"[2009-2010] Enchanting the Classics, [2013] Tiki Tiki Tiki Realms – Celebrating 50 Years of Enchantment [REF], [2014-2015] Mechanical Kingdoms – Steam-Driven Visions of a Victorian Future, [2015-2016] Drawing Disneyland – The Early Years, [2015] Snow Queens – Art of Ice, [2016-2018?] Disney's Steam Trains – A Man & His Passion for the Railroad, [2018-2019] The Art of Mary Poppins Returns (December 2018-2019)",,,,,13,"Edited to include 00.00 - 00.32, fades out"
